#SampleID,Host,Species,Location,SampleGender
ba-fle1,en18,ischnopsyllus_needhami,Hokkaido,female
ba-fle2,en18,ischnopsyllus_needhami,Hokkaido,male
ba-fle3,en18,ischnopsyllus_needhami,Hokkaido,male
ba-fle4,en22,ischnopsyllus_needhami,Hokkaido,female
ba-fle5,en22,ischnopsyllus_needhami,Hokkaido,female
ba-fle6,en22,ischnopsyllus_needhami,Hokkaido,female
ba-fle7,en6,ischnopsyllus_needhami,Hokkaido,
ba-fle8,en6,ischnopsyllus_needhami,Hokkaido,female
ba-fle9,en4,ischnopsyllus_needhami,Hokkaido,male
ba-fle10,en4,ischnopsyllus_needhami,Hokkaido,female
ba-fle11,en4,ischnopsyllus_needhami,Hokkaido,male
ba-fle12,en4,ischnopsyllus_needhami,Hokkaido,male
ba-fle13,en12,ischnopsyllus_needhami,Hokkaido,male
ba-fle14,en25,ischnopsyllus_needhami,Hokkaido,male
ba-fle15,en36,ischnopsyllus_needhami,Hokkaido,male
ba-fle16,en26,ischnopsyllus_needhami,Hokkaido,female
ba-fle17,en22,ischnopsyllus_needhami,Hokkaido,
ba-fle18,en36,ischnopsyllus_needhami,Hokkaido,male
ba-fle19,en23,ischnopsyllus_needhami,Hokkaido,
ba-fle20,en6,ischnopsyllus_needhami,Hokkaido,
