#SampleID,Host,Species,Location,SampleGender
lip_cervi1,deer4,lipoptena_cervi,Shizuoka,male
lip_cervi2,deer4,lipoptena_cervi,Shizuoka,male
lip_cervi3,deer4,lipoptena_cervi,Shizuoka,female
lip_cervi4,deer4,lipoptena_cervi,Shizuoka,female
lip_cervi5,deer4,lipoptena_cervi,Shizuoka,male
lip_cervi6,deer5,lipoptena_cervi,Wakayama,female
lip_cervi7,deer5,lipoptena_cervi,Wakayama,female
lip_cervi8,deer5,lipoptena_cervi,Wakayama,male
lip_cervi9,deer5,lipoptena_cervi,Wakayama,male
lip_cervi10,deer9,lipoptena_cervi,Wakayama,female
lip_cervi11,deer9,lipoptena_cervi,Wakayama,female
lip_cervi12,deer9,lipoptena_cervi,Wakayama,male
lip_cervi13,deer9,lipoptena_cervi,Wakayama,female
lip_cervi14,deer9,lipoptena_cervi,Wakayama,male
lip_cervi15,deer15,lipoptena_cervi,Wakayama,female
lip_cervi16,deer15,lipoptena_cervi,Wakayama,female
lip_cervi17,deer5,lipoptena_cervi,Shizuoka,male
lip_cervi18,deer5,lipoptena_cervi,Shizuoka,male
lip_cervi19,deer5,lipoptena_cervi,Shizuoka,male
lip_cervi20,deer5,lipoptena_cervi,Shizuoka,female
lip_cervi21,deer5,lipoptena_cervi,Shizuoka,female
lip_cervi22,deer5,lipoptena_cervi,Shizuoka,female
lip_cervi23,deer7,lipoptena_cervi,Shizuoka,male
lip_cervi24,deer7,lipoptena_cervi,Shizuoka,male
lip_cervi25,deer7,lipoptena_cervi,Shizuoka,male
lip_cervi26,deer7,lipoptena_cervi,Shizuoka,female
lip_cervi27,deer7,lipoptena_cervi,Shizuoka,female
lip_cervi28,deer7,lipoptena_cervi,Shizuoka,female
lip_cervi29,deer8,lipoptena_cervi,Shizuoka,female
lip_cervi30,deer8,lipoptena_cervi,Shizuoka,female
lip_cervi31,deer8,lipoptena_cervi,Shizuoka,female
lip_cervi32,deer1,lipoptena_cervi,Wakayama,male
lip_cervi33,deer1,lipoptena_cervi,Wakayama,female
lip_cervi34,deer2,lipoptena_cervi,Wakayama,male
lip_cervi35,deer2,lipoptena_cervi,Wakayama,male
lip_cervi36,deer2,lipoptena_cervi,Wakayama,female
lip_cervi37,deer2,lipoptena_cervi,Wakayama,female
lip_cervi38,deer2,lipoptena_cervi,Wakayama,female
lip_cervi39,deer4,lipoptena_cervi,Wakayama,female
lip_cervi40,deer4,lipoptena_cervi,Wakayama,female
lip_cervi41,deer4,lipoptena_cervi,Wakayama,female
lip_cervi42,deer4,lipoptena_cervi,Wakayama,male
lip_cervi43,deer6,lipoptena_cervi,Wakayama,male
lip_cervi44,deer6,lipoptena_cervi,Wakayama,male
lip_cervi45,deer6,lipoptena_cervi,Wakayama,female
lip_cervi46,deer6,lipoptena_cervi,Wakayama,female
lip_cervi47,deer6,lipoptena_cervi,Wakayama,male
lip_cervi48,deer7,lipoptena_cervi,Wakayama,female
lip_cervi49,deer7,lipoptena_cervi,Wakayama,male
lip_cervi50,deer7,lipoptena_cervi,Wakayama,male
lip_cervi51,deer7,lipoptena_cervi,Wakayama,female
lip_cervi52,deer7,lipoptena_cervi,Wakayama,male
lip_cervi53,deer8,lipoptena_cervi,Wakayama,female
lip_cervi54,deer8,lipoptena_cervi,Wakayama,male
lip_cervi55,deer8,lipoptena_cervi,Wakayama,female
lip_cervi56,deer8,lipoptena_cervi,Wakayama,female
lip_cervi57,deer8,lipoptena_cervi,Wakayama,male
lip_cervi58,deer10,lipoptena_cervi,Wakayama,male
lip_cervi59,deer10,lipoptena_cervi,Wakayama,female
lip_cervi60,deer10,lipoptena_cervi,Wakayama,male
lip_cervi61,deer10,lipoptena_cervi,Wakayama,male
lip_cervi62,deer11,lipoptena_cervi,Wakayama,female
lip_cervi63,deer11,lipoptena_cervi,Wakayama,male
lip_cervi64,deer11,lipoptena_cervi,Wakayama,male
lip_cervi65,deer12,lipoptena_cervi,Wakayama,female
lip_cervi66,deer12,lipoptena_cervi,Wakayama,male
lip_cervi67,deer12,lipoptena_cervi,Wakayama,female
lip_cervi68,deer13,lipoptena_cervi,Wakayama,female
lip_cervi69,deer13,lipoptena_cervi,Wakayama,female
lip_cervi70,deer13,lipoptena_cervi,Wakayama,male
lip_cervi71,deer13,lipoptena_cervi,Wakayama,female
lip_cervi72,deer14,lipoptena_cervi,Wakayama,male
