#SampleID,Host,Species,Location,SampleGender
mk-lou1,monkey1,pedicinus_obtusus,Kanagawa,female
mk-lou2,monkey1,pedicinus_obtusus,Kanagawa,female
mk-lou3,monkey1,pedicinus_obtusus,Kanagawa,female
mk-lou4,monkey2,pedicinus_obtusus,Kanagawa,male
mk-lou5,monkey2,pedicinus_obtusus,Kanagawa,male
mk-lou6,monkey2,pedicinus_obtusus,Kanagawa,male
mk-lou7,monkey2,pedicinus_obtusus,Kanagawa,male
mk-lou8,monkey2,pedicinus_obtusus,Kanagawa,male
mk-lou9,monkey2,pedicinus_obtusus,Kanagawa,male
mk-lou10,monkey3,pedicinus_obtusus,Kanagawa,male
mk-lou11,monkey3,pedicinus_obtusus,Kanagawa,male
mk-lou12,monkey3,pedicinus_obtusus,Kanagawa,male
mk-lou13,monkey4,pedicinus_obtusus,Kanagawa,male
mk-lou14,monkey4,pedicinus_obtusus,Kanagawa,male
mk-lou15,monkey4,pedicinus_obtusus,Kanagawa,male
mk-lou16,monkey4,pedicinus_obtusus,Kanagawa,male
mk-lou17,monkey5,pedicinus_obtusus,Kanagawa,female
mk-lou18,monkey5,pedicinus_obtusus,Kanagawa,female
mk-lou19,monkey6,pedicinus_obtusus,Kanagawa,male
mk-lou20,monkey6,pedicinus_obtusus,Kanagawa,male
mk-lou21,monkey6,pedicinus_obtusus,Kanagawa,male
mk-lou22,monkey7,pedicinus_obtusus,Kanagawa,male
mk-lou23,monkey7,pedicinus_obtusus,Kanagawa,male
mk-lou24,monkey7,pedicinus_obtusus,Kanagawa,male
mk-lou25,monkey8,pedicinus_obtusus,Kanagawa,male
mk-lou26,monkey8,pedicinus_obtusus,Kanagawa,male
mk-lou27,monkey8,pedicinus_obtusus,Kanagawa,male
mk-lou28,monkey9,pedicinus_obtusus,Kanagawa,female
mk-lou29,monkey9,pedicinus_obtusus,Kanagawa,female
mk-lou30,monkey9,pedicinus_obtusus,Kanagawa,female
mk-lou31,monkey10,pedicinus_obtusus,Kanagawa,female
mk-lou32,monkey10,pedicinus_obtusus,Kanagawa,female
mk-lou33,monkey10,pedicinus_obtusus,Kanagawa,female
mk-lou34,monkey11,pedicinus_obtusus,Kanagawa,male
mk-lou35,monkey11,pedicinus_obtusus,Kanagawa,male
mk-lou36,monkey11,pedicinus_obtusus,Kanagawa,male
mk-lou37,monkey12,pedicinus_obtusus,Kanagawa,male
mk-lou38,monkey12,pedicinus_obtusus,Kanagawa,male
mk-lou39,monkey12,pedicinus_obtusus,Kanagawa,male
mk-lou40,monkey12,pedicinus_obtusus,Kanagawa,male
mk-lou41,monkey12,pedicinus_obtusus,Kanagawa,male
mk-lou42,monkey12,pedicinus_obtusus,Kanagawa,male
mk-lou43,monkey13,pedicinus_obtusus,Kanagawa,female
mk-lou44,monkey13,pedicinus_obtusus,Kanagawa,female
mk-lou45,monkey13,pedicinus_obtusus,Kanagawa,female
mk-lou46,monkey13,pedicinus_obtusus,Kanagawa,female
mk-lou47,monkey13,pedicinus_obtusus,Kanagawa,female
mk-lou48,monkey14,pedicinus_obtusus,Kanagawa,male
mk-lou49,monkey14,pedicinus_obtusus,Kanagawa,male
mk-lou50,monkey14,pedicinus_obtusus,Kanagawa,male
mk-lou51,monkey14,pedicinus_obtusus,Kanagawa,male
mk-lou52,monkey15,pedicinus_obtusus,Kanagawa,female
mk-lou53,monkey15,pedicinus_obtusus,Kanagawa,female
mk-lou54,monkey15,pedicinus_obtusus,Kanagawa,female
mk-lou55,monkey16,pedicinus_obtusus,Kanagawa,female
mk-lou56,monkey16,pedicinus_obtusus,Kanagawa,female
mk-lou57,monkey16,pedicinus_obtusus,Kanagawa,female
mk-lou58,monkey16,pedicinus_obtusus,Kanagawa,female
mk-lou59,monkey17,pedicinus_obtusus,Kanagawa,male
mk-lou60,monkey17,pedicinus_obtusus,Kanagawa,male
mk-lou61,monkey17,pedicinus_obtusus,Kanagawa,male
mk-lou62,monkey18,pedicinus_obtusus,Kanagawa,male
mk-lou63,monkey18,pedicinus_obtusus,Kanagawa,male
mk-lou64,monkey19,pedicinus_obtusus,Kanagawa,male
mk-lou65,monkey19,pedicinus_obtusus,Kanagawa,male
mk-lou66,monkey20,pedicinus_obtusus,Kanagawa,female
mk-lou67,monkey20,pedicinus_obtusus,Kanagawa,female
mk-lou68,monkey21,pedicinus_obtusus,Kanagawa,female
mk-lou69,monkey21,pedicinus_obtusus,Kanagawa,female
mk-lou70,monkey21,pedicinus_obtusus,Kanagawa,female
mk-lou71,monkey21,pedicinus_obtusus,Kanagawa,female
mk-lou72,monkey21,pedicinus_obtusus,Kanagawa,female
